    21.600     25.769     43.666
    21.700     25.690     43.609
    21.800     25.615     43.530
    21.900     25.540     43.428
    22.000     25.468     43.305
    22.100     25.399     43.161
    22.200     25.334     42.997
    22.300     25.268     42.814
    22.400     25.205     42.612
    22.500     25.145     42.391
    22.600     25.086     42.154
    22.700     25.031     41.900
    22.800     24.976     41.630
    22.900     24.922     41.345
    23.000     24.871     41.045
    23.100     24.821     40.732
    23.200     24.775     40.406
    23.300     24.728     40.068
    23.400     24.683     39.718
    23.500     24.640     39.358
    23.600     24.598     38.987
    23.700     24.559     38.606
    23.800     24.519     38.217
    23.900     24.481     37.819
    24.000     24.445     37.414
    24.100     24.409     37.001
    24.200     24.376     36.582
    24.300     24.343     36.158
    24.400     24.311     35.727
    24.500     24.280     35.293
    24.600     24.252     34.854
    24.700     24.222     34.411
    24.800     24.194     33.965
    24.900     24.167     33.516
    25.000     24.141     33.064
    25.100     24.117     32.611
    25.200     24.093     32.157
    25.300     24.069     31.701
    25.400     24.047     31.245
    25.500     24.024     30.789
    25.600     24.004     30.332
    25.700     23.984     29.876
    25.800     23.963     29.421
    25.900     23.944     28.967
    26.000     23.926     28.514
    26.100     23.909     28.063
    26.200     23.891     27.614
    26.300     23.874     27.167
    26.400     23.858     26.722
    26.500     23.844     26.280
    26.600     23.829     25.841
    26.700     23.814     25.405
    26.800     23.799     24.972
    26.900     23.786     24.543
    27.000     23.774     24.117
    27.100     23.761     23.695
    27.200     23.748     23.277
    27.300     23.736     22.862
    27.400     23.724     22.452
    27.500     23.715     22.047
    27.600     23.704     21.645
    27.700     23.693     21.248
    27.800     23.683     20.856
    27.900     23.672     20.468
    28.000     23.664     20.085
    28.100     23.655     19.707
    28.200     23.646     19.333
    28.300     23.637     18.965
    28.400     23.628     18.601
    28.500     23.622     18.242
    28.600     23.614     17.888
    28.700     23.606     17.539
    28.800     23.598     17.195
    28.900     23.591     16.857
    29.000     23.585     16.523
    29.100     23.579     16.194
    29.200     23.572     15.870
    29.300     23.565     15.551
    29.400     23.559     15.237
    29.500     23.554     14.928
    29.600     23.548     14.625
    29.700     23.542     14.326
    29.800     23.537     14.032
    29.900     23.531     13.743
